Genes	C57_C1	C57_C2	C57_C3	CX5_C1	CX5_C2	CX5_C3
ENSMUSG00000000001	1573	1371	1714	1219	1601	1768
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	33	21	29	27	29	40
ENSMUSG00000000031	1038	1566	1315	1837	1016	722
ENSMUSG00000000037	15	13	33	5	2	23
ENSMUSG00000000049	12	12	18	21	32	10
ENSMUSG00000000056	422	366	461	444	347	408
ENSMUSG00000000058	1047	956	1183	872	1128	1049
ENSMUSG00000000078	1621	1402	1668	1079	1178	1352
ENSMUSG00000000085	423	406	508	415	402	382
ENSMUSG00000000088	1362	1372	1284	2184	1280	1023
ENSMUSG00000000093	837	758	983	528	656	625
ENSMUSG00000000094	43	35	46	48	38	25
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000120	201	229	244	212	290	296
ENSMUSG00000000125	1	0	2	0	4	1
ENSMUSG00000000126	240	305	390	287	258	183
ENSMUSG00000000127	178	180	241	153	166	199
ENSMUSG00000000131	733	693	818	538	619	696
ENSMUSG00000000134	584	609	617	533	546	517
ENSMUSG00000000142	489	431	580	288	361	321
ENSMUSG00000000148	145	154	186	141	161	147
ENSMUSG00000000149	1669	1421	1620	1471	1154	1236
ENSMUSG00000000154	252	215	227	290	241	227
ENSMUSG00000000157	0	1	4	0	0	2
ENSMUSG00000000159	0	0	0	0	0	1
ENSMUSG00000000167	9	13	11	11	13	11
ENSMUSG00000000168	1059	1119	1247	1229	1064	1047
ENSMUSG00000000171	1437	1330	1467	1663	1224	1213
ENSMUSG00000000182	1	3	0	0	0	0
ENSMUSG00000000183	7	7	10	19	4	6
ENSMUSG00000000184	2523	2954	3164	2028	3256	2456
ENSMUSG00000000194	1035	1027	1069	900	880	885
ENSMUSG00000000197	178	158	202	137	135	118
ENSMUSG00000000202	6	8	6	6	3	5
ENSMUSG00000000204	2	4	0	1	4	10
ENSMUSG00000000214	18	19	27	71	39	14
ENSMUSG00000000215	74	58	56	25	32	35
ENSMUSG00000000216	1	3	0	1	1	0
ENSMUSG00000000223	73	106	89	101	70	74
ENSMUSG00000000244	34	12	19	28	11	25
ENSMUSG00000000247	569	446	673	416	476	431
ENSMUSG00000000248	5	1	2	0	1	6
ENSMUSG00000000253	722	676	760	904	680	658
ENSMUSG00000000263	3	4	0	3	2	3
ENSMUSG00000000266	376	324	358	281	388	390
ENSMUSG00000000275	822	835	1020	617	921	928
ENSMUSG00000000276	196	239	300	170	222	224
ENSMUSG00000000278	2271	2483	2487	2273	1905	2141
ENSMUSG00000000282	735	783	735	573	681	704
ENSMUSG00000000290	1569	1323	1318	1217	1300	1363
ENSMUSG00000000295	114	128	128	104	122	107
ENSMUSG00000000296	159	190	191	262	167	148
ENSMUSG00000000301	15	17	20	31	11	24
ENSMUSG00000000303	1461	1434	1528	1298	2273	1803
ENSMUSG00000000305	105	115	127	128	90	120
ENSMUSG00000000308	516	453	432	599	810	733
ENSMUSG00000000317	35	77	67	40	47	37
ENSMUSG00000000318	226	113	108	170	125	106
ENSMUSG00000000320	434	306	267	247	539	302
ENSMUSG00000000325	66	36	7	9	17	49
ENSMUSG00000000326	39	23	19	33	32	29
ENSMUSG00000000339	371	297	393	349	264	301
ENSMUSG00000000340	378	354	507	363	429	396
ENSMUSG00000000346	2830	2608	2664	2598	2729	2808
ENSMUSG00000000355	177	220	224	237	179	229
ENSMUSG00000000359	68	72	60	76	31	71
ENSMUSG00000000365	3	5	5	3	7	6
ENSMUSG00000000374	729	722	931	665	771	772
ENSMUSG00000000378	356	362	377	367	274	309
ENSMUSG00000000381	0	0	0	0	0	0
ENSMUSG00000000384	308	247	317	297	265	264
ENSMUSG00000000385	171	133	172	111	250	172
ENSMUSG00000000386	26	23	53	9	23	23
ENSMUSG00000000392	683	779	913	781	582	668
ENSMUSG00000000394	4	4	0	1	0	0
ENSMUSG00000000399	1078	1030	1020	1595	1036	912
ENSMUSG00000000402	50	72	80	46	49	50
ENSMUSG00000000409	78	44	35	42	32	48
ENSMUSG00000000411	2	3	0	1	0	0
ENSMUSG00000000416	38	37	52	31	55	49
ENSMUSG00000000420	1662	1425	1647	1373	1262	1372
ENSMUSG00000000435	8	13	2	18	3	2
ENSMUSG00000000439	858	868	973	928	805	757
ENSMUSG00000000440	174	155	181	126	148	115
ENSMUSG00000000441	1160	1110	1360	1166	1001	1092
ENSMUSG00000000486	91	89	70	64	79	84
ENSMUSG00000000489	445	531	449	447	339	417
ENSMUSG00000000530	1158	1056	917	947	709	777
ENSMUSG00000000531	231	216	221	166	145	126
ENSMUSG00000000532	528	563	614	502	672	589
ENSMUSG00000000538	1416	1396	1622	1366	1306	1217
ENSMUSG00000000544	3	5	2	4	10	4
ENSMUSG00000000552	1747	1843	1827	2177	1617	1392
ENSMUSG00000000555	563	550	480	389	387	428
ENSMUSG00000000560	0	2	1	15	4	8
ENSMUSG00000000561	173	200	170	226	170	192
ENSMUSG00000000562	1	4	8	3	1	14
ENSMUSG00000000563	2481	2668	2724	3773	2516	2401
ENSMUSG00000000567	877	907	1290	842	1027	824
ENSMUSG00000000568	1250	1301	1352	1227	1292	1259
ENSMUSG00000000579	39	35	27	27	17	30
ENSMUSG00000000581	385	358	378	435	327	384
ENSMUSG00000000594	3035	2877	2820	2888	2323	2476
ENSMUSG00000000600	185	246	371	200	268	265
ENSMUSG00000000605	1300	1292	1501	1246	1252	1179
ENSMUSG00000000606	0	0	0	0	0	0
ENSMUSG00000000617	8	27	5	28	5	11
ENSMUSG00000000627	26	31	25	23	26	27
ENSMUSG00000000628	740	995	765	1012	893	672
ENSMUSG00000000631	1618	1552	1823	1322	1546	1555
ENSMUSG00000000632	16	28	14	35	19	21
ENSMUSG00000000673	11	9	11	10	4	8
ENSMUSG00000000682	532	484	400	456	412	432
ENSMUSG00000000686	115	85	90	39	59	62
