Gene	C57_R1	C57_R2	C57_R3	CX5_R1	CX5_R2	CX5_R3
ENSMUSG00000000001	375	371	401	509	450	438
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	41	47	66	42	46	27
ENSMUSG00000000031	7	6	7	9	9	4
ENSMUSG00000000037	40	36	40	16	38	16
ENSMUSG00000000049	53	66	65	100	89	46
ENSMUSG00000000056	929	908	985	966	925	841
ENSMUSG00000000058	426	402	479	779	578	1044
ENSMUSG00000000078	224	219	231	349	335	285
ENSMUSG00000000085	567	522	631	546	655	493
ENSMUSG00000000088	758	781	889	1126	1043	1149
ENSMUSG00000000093	1168	1122	1317	1383	1343	1108
ENSMUSG00000000094	1	0	0	1	0	0
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000120	475	472	550	711	640	679
ENSMUSG00000000125	3	5	8	4	9	3
ENSMUSG00000000126	10	23	13	28	43	28
ENSMUSG00000000127	237	244	274	270	309	195
ENSMUSG00000000131	1344	1299	1527	714	1039	691
ENSMUSG00000000134	552	538	649	576	728	500
ENSMUSG00000000142	341	367	444	469	399	340
ENSMUSG00000000148	319	319	375	227	269	229
ENSMUSG00000000149	392	375	452	514	466	464
ENSMUSG00000000154	5	2	3	1	9	2
ENSMUSG00000000157	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	2
ENSMUSG00000000167	54	53	62	42	55	46
ENSMUSG00000000168	637	631	728	941	1004	759
ENSMUSG00000000171	469	430	503	644	587	714
ENSMUSG00000000182	2	8	3	7	2	4
ENSMUSG00000000183	0	0	0	0	0	0
ENSMUSG00000000184	74	56	66	72	122	59
ENSMUSG00000000194	874	785	1016	992	944	789
ENSMUSG00000000197	439	440	531	797	780	467
ENSMUSG00000000202	23	15	18	25	14	15
ENSMUSG00000000204	0	0	0	0	0	0
ENSMUSG00000000214	20	25	37	122	105	63
ENSMUSG00000000215	8	2	6	2	1	0
ENSMUSG00000000216	0	1	0	1	0	0
ENSMUSG00000000223	245	214	221	193	167	150
ENSMUSG00000000244	4	0	3	1	3	2
ENSMUSG00000000247	417	499	509	797	681	618
ENSMUSG00000000248	0	0	0	0	0	0
ENSMUSG00000000253	230	213	229	244	285	248
ENSMUSG00000000263	132	148	154	141	148	96
ENSMUSG00000000266	204	223	231	282	262	162
ENSMUSG00000000275	505	515	579	393	493	331
ENSMUSG00000000276	3789	3923	4526	2734	3496	2636
ENSMUSG00000000278	148	138	155	175	165	149
ENSMUSG00000000282	656	767	965	700	735	625
ENSMUSG00000000290	7	18	11	41	38	34
ENSMUSG00000000295	60	50	62	54	68	72
ENSMUSG00000000296	8	7	8	13	15	21
ENSMUSG00000000301	7	16	11	20	12	17
ENSMUSG00000000303	11	7	17	20	9	8
ENSMUSG00000000305	439	363	494	460	471	326
ENSMUSG00000000308	1092	1222	1384	2202	1904	1662
ENSMUSG00000000317	9	6	8	9	11	5
ENSMUSG00000000318	4	4	2	2	3	6
ENSMUSG00000000320	6	6	5	10	4	3
ENSMUSG00000000325	30	52	11	47	31	11
ENSMUSG00000000326	69	11	23	19	14	178
ENSMUSG00000000339	477	377	437	602	536	554
ENSMUSG00000000340	151	155	150	186	165	145
ENSMUSG00000000346	1394	1232	1466	1994	1852	1821
ENSMUSG00000000355	359	334	445	281	304	246
ENSMUSG00000000359	4	1	3	0	2	2
ENSMUSG00000000365	2	11	1	5	8	4
ENSMUSG00000000374	945	1158	1215	1108	1295	859
ENSMUSG00000000378	282	224	295	364	356	380
